DEALERSHIP_ID,REGION,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,COUNTRY,PHONE NUMBER,FAX NUMBER,EMAIL,GENDER,POSITION TYPE,HIRE_DATE,DATE_ENTERED
1,West,86445,Casey,Teague,29 Peachtree Pl Nw,San Francisco,California,United States,4048150463,4048150463,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
1,West,86415,Alfred,Fadel,2029 Century Park E,San Francisco,California,United States,3105523400,3105523400,falfred@univ.edu,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
2,West,86420,Alex,David,5640 Franklin Ave,San Diego,California,United States,3234645505,3234645505,dalex@geocities.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
2,West,86423,Reynaldo,Reniva,1214 Silver Lake Blvd,San Diego,California,United States,2134138713,2134138713,rreynaldo@geocities.com,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
2,West,86426,Carl,Davidson,168 Belwood Ct,San Diego,California,United States,4083561435,4083561435,dcarl@yahoo.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
2,West,86440,Jolena,James,1225 S Wilton Pl,San Diego,California,United States,3237325656,3237325656,jjolena@univ.edu,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
2,West,86474,Mavis,Bradley,8601 Roberts Dr,San Diego,California,United States,7709987461,7709987461,bmavis@yahoo.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
2,West,86478,Arturo,Martinez,3573 Buford Hwy Ne,San Diego,California,United States,4043299857,4043299857,marturo@xyz.org,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
2,West,86498,Henry L,Andel,4785 Merlendale Ct Nw,San Diego,California,United States,4042554700,4042554700,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
3,West,86414,Angelo,Accardo,1242 Center Ln,Seattle,Washington,United States,2098265752,2098265752,aangelo@compuserve.com,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
3,West,86416,Antonio O,Vela,3335 Garnet St,Seattle,Washington,United States,3232636087,3232636087,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
4,West,86463,Kenneth,Gibson,189 Anderson Ave Nw,Scottsdale,Arizona,United States,4047928233,4047928233,gkenneth@hotmail.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
4,West,86466,Nick,Gibietis,1004 Marsh Trail Cir Ne,Scottsdale,Arizona,United States,7703966396,7703966396,gnick@univ.edu,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
4,West,86409,Joseph,James,221 W 41st,Scottsdale,Arizona,United States,3232315681,3232315681,jjoseph@mailcity.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
4,West,86412,Bobby P,Renna,1850 Whitley Ave,Scottsdale,Arizona,United States,3238564909,3238564909,rbobbyp@mailcity.com,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
5,West,86431,Anthony,Vela,131 N Record Ave,Los Angeles,California,United States,3232698579,3232698579,vanthony@geocities.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
5,West,,,Vela,131 N Record Ave,Los Angeles,California,United States,3232698579,3232698579,vanthony@geocities.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
5,West,86434,R R,Renfro,806 S Spaulding Ave,Los Angeles,California,United States,3239365604,3239365604,rrr@hotmail.com,M,EXECUTIVE,1/2/2003 0:00,1/2/2003 0:00
5,West,86459,J F,Anderson,1818 Homestead Ave Ne,Los Angeles,California,United States,4048768794,4048768794,ajf@univ.edu,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
5,West,86406,Boun S,Lee,450 S Grand View St,Los Angeles,California,United States,2133864804,2133864804,,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
6,West,86424,Michael,Renk,3448 Sawtelle Blvd Apt 18,Newport Beach,California,United States,3103905216,3103905216,rmichael@univ.edu,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
6,West,86432,Jose P,Velasco,1027 W 110th St,Newport Beach,California,United States,3237579073,3237579073,vjosep@compuserve.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
6,West,86402,Jeffrey,James,11980 San Vicente Blvd,Newport Beach,California,United States,3108265414,3108265414,jjeffrey@hotmail.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
6,West,86403,Izhak,Jamatty,112 N Hayworth Ave,Newport Beach,California,United States,3239318755,3239318755,jizhak@geocities.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
7,West,86427,J H,Fadeley,682 Irolo St,Denver,Colorado,United States,2133805308,2133805308,,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
7,West,86453,Ebrahim,Fadakar,4018 Camero Ave,Denver,Colorado,United States,3236642918,3236642918,febrahim@geocities.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
7,West,86481,Holsie,King,4201 Angeles Vista Blvd,Denver,Colorado,United States,3232999551,3232999551,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
7,West,86481,Holsie,King,4211 Angeles Vista Blvd,Denver,Colorado,United States,3232999551,3232999551,,M,SALESREP,1/2/2003 0:00,1/3/2003 0:00
8,West,86428,David T,Acalin,4221 Wilshire Blvd,Sacramento,California,United States,3239378888,3239378888,adavidt@yahoo.com,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
8,West,86491,Christopher,Von Gal,230 Peachtree St Nw,Sacramento,California,United States,4048939977,4048939977,vchristopher@geocities.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
8,West,86428,David T,Acalin,4221 Wilshire Blvd,Sacramento,California,United States,3239378888,3239978888,adavidt@yahoo.com,M,MANAGER,1/2/2003 0:00,1/3/2003 0:00
9,West,86439,Hagop,Jambaziam,1640 N Hobart Blvd,San Jose,California,United States,3234653014,3234653014,jhagop@hotmail.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
9,West,86411,Dean,Renly,7719 Lexington Ave,San Jose,California,United States,3238769727,3238769727,rdean@hotmail.com,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
9,West,86419,Alan,David,1925 Century Park E,San Jose,California,United States,3102038000,3102038000,dalan@xyz.org,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00
10,West,86448,Bernard,Davidson,9509 Sawyer St,Oakland,California,United States,3108391924,3108391924,dbernard@hotmail.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00
10,West,86472,William A,Brabson,2141 Springdale Rd Sw,Oakland,California,United States,4047668150,4047668150,bwilliama@yahoo.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00
10,West,86461,David C,Andersen,2236 Old Brooke Ln,Oakland,California,United States,7703941706,7703941706,adavidc@geocities.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00
10,West,86407,J,Kingsbury,3042 Rowena Dr,Oakland,California,United States,5624305744,5624305744,kj@xyz.org,M,MANAGER,1/3/2003 0:00,1/3/2003 0:00
11,Central,86433,Harold,King,630 Mar Vista Dr,Dallas,Texas,United States,8055283030,8055283030,kharold@xyz.org,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
11,Central,86464,K W,Gibson,2312 Surrey Trl,Dallas,Texas,United States,4045591493,4045591493,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
12,Central,86435,William L,Summer,166 S Rockingham Ave,Houston,Texas,United States,3104728191,3104728191,swilliaml@xyz.org,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
13,Central,86438,Larry,Wilbourn,1014 E 73d,Austin,Texas,United States,3235860724,3235860724,,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
13,Central,86484,A R,Pearce,10501 Wilshire Blvd,Austin,Texas,United States,3104741314,3104741314,par@compuserve.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
13,Central,86401,Harold F,King,25640 Moody Rd,Austin,Texas,United States,6509485382,6509485382,kharoldf@compuserve.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
14,Central,86442,Kirakosyan,Nuretsa,1428 N Normandie Ave,Chicago,Illinois,United States,3236645243,3236645243,nkirakosyan@yahoo.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
14,Central,86451,Thomas A,Acantilado,2034 S Genesee Ave,Chicago,Illinois,United States,3239365458,3239365458,,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
14,Central,,,Acantilado,2034 S Genesee Ave,Chicago,Illinois,United States,3239365458,3239365458,,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
14,Central,86456,Melvin M,Bradley,4070 Morning Trl,Chicago,Illinois,United States,4047666145,4047666145,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
14,Central,86480,Alipio,King,7160 W 85th St Apt 1,Chicago,Illinois,United States,3102162982,3102162982,kalipio@geocities.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
15,Central,86429,Julian,Acebedo,735 S Saint Andrews Pl,Minneapolis,Minnesota,United States,2133807627,2133807627,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
15,Central,86455,Michael,Bradley,56 Cobb St,Minneapolis,Minnesota,United States,4047558098,4047558098,bmichael@hotmail.com,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
15,Central,86476,John H,Ernst,3309 Chase Rd,Minneapolis,Minnesota,United States,7704558118,7704558118,ejohnh@univ.edu,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
15,Central,86476,John J,Ernst,3310 Chase Rd,Minneapolis,Minnesota,United States,7704558118,7704558118,ejohnh@univ.edu,M,SALESREP,1/2/2003 0:00,1/3/2003 0:00
15,Central,86444,Laurencio,Zabala,1638 Mohawk St,Minneapolis,Minnesota,United States,2134848515,2134848515,zlaurencio@hotmail.com,M,SALESREP,1/3/2003 0:00,1/3/2003 0:00
16,Central,86457,Fredia M,Bradford,3093 Washington Rd,Ann Arbour,Michigan,United States,4047626374,4047626374,,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
16,Central,86489,Roderick W,Teachey,878 Peachtree St Ne,Ann Arbour,Michigan,United States,4048720732,4048720732,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
16,Central,86457,Fredia M,Bradford,30093 Washington Rd,Ann Arbour,Michigan,United States,4047626374,4047626374,,M,MANAGER,1/2/2003 0:00,1/3/2003 0:00
17,Central,86460,Holly,Anderson,1095 Seaboard Ave Nw,Houston,Texas,United States,4043500927,4043500927,aholly@xyz.org,M,MANAGER,1/2/2003 0:00,1/2/2003 0:00
17,Central,86467,Kiam L,Giang,470 King Arnold St,Houston,Texas,United States,4047679753,4047679753,,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
17,Central,86487,C T,Teague,1067 Alta Ave Ne,Houston,Texas,United States,4045775766,4045775766,tct@hotmail.com,M,SALESREP,1/2/2003 0:00,1/2/2003 0:00
