Employee_Key,Name,Phone_Number,Fax_Number,Email,Address,Salary,Dealership_Manager,Position_Type,City,State,Region,Country
86445.0,Casey Teague,(404) 815-0463,(404) 815-0463,,29 Peachtree Pl Nw,65500.0,1,SALESREP,San Francisco,California,West,United States
86415.0,Alfred Fadel,(310) 552-3400,(310) 552-3400,falfred@univ.edu,2029 Century Park E,81900.0,1,MANAGER,San Francisco,California,West,United States
86420.0,Alex David,(323) 464-5505,(323) 464-5505,dalex@geocities.com,5640 Franklin Ave,67100.0,2,SALESREP,San Diego,California,West,United States
86423.0,Reynaldo Reniva,(213) 413-8713,(213) 413-8713,rreynaldo@geocities.com,1214 Silver Lake Blvd,84200.0,2,MANAGER,San Diego,California,West,United States
86426.0,Carl Davidson,(408) 356-1435,(408) 356-1435,dcarl@yahoo.com,168 Belwood Ct,72100.0,2,SALESREP,San Diego,California,West,United States
86440.0,Jolena James,(323) 732-5656,(323) 732-5656,jjolena@univ.edu,1225 S Wilton Pl,70200.0,2,SALESREP,San Diego,California,West,United States
86474.0,Mavis Bradley,(770) 998-7461,(770) 998-7461,bmavis@yahoo.com,8601 Roberts Dr,66650.0,2,SALESREP,San Diego,California,West,United States
86478.0,Arturo Martinez,(404) 329-9857,(404) 329-9857,marturo@xyz.org,3573 Buford Hwy Ne,69600.0,2,SALESREP,San Diego,California,West,United States
86498.0,Henry L Andel,(404) 255-4700,(404) 255-4700,,4785 Merlendale Ct Nw,67100.0,2,SALESREP,San Diego,California,West,United States
86414.0,Angelo Accardo,(209) 826-5752,(209) 826-5752,aangelo@compuserve.com,1242 Center Ln,80200.0,3,MANAGER,Seattle,Washington,West,United States
86416.0,Antonio O Vela,(323) 263-6087,(323) 263-6087,,3335 Garnet St,66100.0,3,SALESREP,Seattle,Washington,West,United States
86463.0,Kenneth Gibson,(404) 792-8233,(404) 792-8233,gkenneth@hotmail.com,189 Anderson Ave Nw,63950.0,4,SALESREP,Scottsdale,Arizona,West,United States
86466.0,Nick Gibietis,(770) 396-6396,(770) 396-6396,gnick@univ.edu,1004 Marsh Trail Cir Ne,61950.0,4,SALESREP,Scottsdale,Arizona,West,United States
86409.0,Joseph James,(323) 231-5681,(323) 231-5681,jjoseph@mailcity.com,221 W 41st,66100.0,4,SALESREP,Scottsdale,Arizona,West,United States
86412.0,Bobby P Renna,(323) 856-4909,(323) 856-4909,rbobbyp@mailcity.com,1850 Whitley Ave,89200.0,4,MANAGER,Scottsdale,Arizona,West,United States
86431.0,Anthony Vela,(323) 269-8579,(323) 269-8579,vanthony@geocities.com,131 N Record Ave,74200.0,5,SALESREP,Los Angeles,California,West,United States
86434.0,R R Renfro,(323) 936-5604,(323) 936-5604,rrr@hotmail.com,806 S Spaulding Ave,78100.0,5,EXECUTIVE,Los Angeles,California,West,United States
86459.0,J F Anderson,(404) 876-8794,(404) 876-8794,ajf@univ.edu,1818 Homestead Ave Ne,69500.0,5,SALESREP,Los Angeles,California,West,United States
86406.0,Boun S Lee,(213) 386-4804,(213) 386-4804,,450 S Grand View St,89200.0,5,MANAGER,Los Angeles,California,West,United States
86424.0,Michael Renk,(310) 390-5216,(310) 390-5216,rmichael@univ.edu,3448 Sawtelle Blvd Apt 18,87200.0,6,MANAGER,Newport Beach,California,West,United States
86432.0,Jose P Velasco,(323) 757-9073,(323) 757-9073,vjosep@compuserve.com,1027 W 110th St,65100.0,6,SALESREP,Newport Beach,California,West,United States
86402.0,Jeffrey James,(310) 826-5414,(310) 826-5414,jjeffrey@hotmail.com,11980 San Vicente Blvd,63100.0,6,SALESREP,Newport Beach,California,West,United States
86403.0,Izhak Jamatty,(323) 931-8755,(323) 931-8755,jizhak@geocities.com,112 N Hayworth Ave,60250.0,6,SALESREP,Newport Beach,California,West,United States
86427.0,J H Fadeley,(213) 380-5308,(213) 380-5308,,682 Irolo St,84234.0,7,MANAGER,Denver,Colorado,West,United States
86453.0,Ebrahim Fadakar,(323) 664-2918,(323) 664-2918,febrahim@geocities.com,4018 Camero Ave,67390.0,7,SALESREP,Denver,Colorado,West,United States
86481.0,Holsie King,(323) 299-9551,(323) 299-9551,,4201 Angeles Vista Blvd,68120.0,7,SALESREP,Denver,Colorado,West,United States
86428.0,David T Acalin,(323) 937-8888,(323) 937-8888,adavidt@yahoo.com,4221 Wilshire Blvd,88240.0,8,MANAGER,Sacramento,California,West,United States
86491.0,Christopher Von Gal,(404) 893-9977,(404) 893-9977,vchristopher@geocities.com,230 Peachtree St Nw,67550.0,8,SALESREP,Sacramento,California,West,United States
86439.0,Hagop Jambaziam,(323) 465-3014,(323) 465-3014,jhagop@hotmail.com,1640 N Hobart Blvd,66100.0,9,SALESREP,San Jose,California,West,United States
